country,capital,continent,subcategory
Abkhazia,Sukhumi,asia
Afghanistan,Kabul,asia
Akrotiri and Dhekelia,Episkopi Cantonment,europe,british teritory
Albania,Tirana,europe
Algeria,Algiers,afrika
American Samoa,Pago Pago,oceania,us teritory
Andorra,Andorra la Vella,europe
Angola,Luanda,afrika
Anguilla,The Valley,north america,british teritory
Antigua and Barbuda,St. John's,north america
Argentina,Buenos Aires,south america
Armenia,Yerevan,asia
Aruba,Oranjestad,north america,dutch teritory
Ascension Island,Georgetown,afrika,british teritory
Australia,Canberra,oceania
Austria,Vienna,europe
Azerbaijan,Baku,asia
Bahamas,Nassau,north america
Bahrain,Manama,asia
Bangladesh,Dhaka,asia
Barbados,Bridgetown,north america
Belarus,Minsk,europe
Belgium,Brussels,europe
Belize,Belmopan,north america
Benin,Porto-Novo,afrika
Bermuda,Hamilton,north america
Bhutan,Thimphu,asia
Bolivia,La Paz,south america
Bosnia and Herzegovina,Sarajevo,europe
Botswana,Gaborone,afrika
Brazil,Brasília,south america
British Virgin Islands,Road Town,north america,british teritory
Brunei,Bandar Seri Begawan,asia
Bulgaria,Sofia,europe
Burkina Faso,Ouagadougou,afrika
Burundi,Bujumbura,afrika
Cambodia,Phnom Penh,asia
Cameroon,Yaoundé,afrika
Canada,Ottawa,north america
Cape Verde,Praia,afrika
Cayman Islands,George Town,north america,british teritory
Central African Republic,Bangui,afrika
Chad,N'Djamena,afrika
Chile,Santiago,south america
China,Beijing,asia
Christmas Island,Flying Fish Cove,oceania,australian teritory
Cocos (Keeling) Islands,West Island,oceania,australian teritory
Colombia,Bogotá,south america
Comoros,Moroni,afrika
Cook Islands,Avarua,oceania,new zealand teritory
Costa Rica,San José,north america
Croatia,Zagreb,europe
Cuba,Havana,north america
Curaçao,Willemstad,north america,dutch teritory
Cyprus,Nicosia,europe
Czech Republic,Prague,europe
Côte d'Ivoire,Yamoussoukro,afrika
Democratic Republic of the Congo,Kinshasa,afrika
Denmark,Copenhagen,europe
Djibouti,Djibouti,afrika
Dominica,Roseau,north america
Dominican Republic,Santo Domingo,north america
East Timor,Dili,asia
Easter Island,Hanga Roa,south america,chile teritory
Ecuador,Quito,south america
Egypt,Cairo,afrika
El Salvador,San Salvador,north america
Equatorial Guinea,Malabo,afrika
Eritrea,Asmara,afrika
Estonia,Tallinn,europe
Ethiopia,Addis Ababa,afrika
Falkland Islands,Stanley,south america
Faroe Islands,Tórshavn,europe,dutch teritory
Federated States of Micronesia,Palikir,oceania
Fiji,Suva,oceania
Finland,Helsinki,europe
France,Paris,europe
French Guiana,Cayenne,south america
French Polynesia,Papeete,oceania
Gabon,Libreville,afrika
Gambia,Banjul,afrika
Georgia,Tbilisi,asia
Germany,Berlin,europe
Ghana,Accra,afrika
Gibraltar,Gibraltar,europe
Greece,Athens,europe
Greenland,Nuuk,north america,danish teritory
Grenada,St. George's,north america
Guam,Hagåtña,oceania
Guatemala,Guatemala City,north america
Guernsey,St. Peter Port,europe,british teritory
Guinea,Conakry,afrika
Guinea-Bissau,Bissau,afrika
Guyana,Georgetown,south america
Haiti,Port-au-Prince,north america
Honduras,Tegucigalpa,north america
Hungary,Budapest,europe
Iceland,Reykjavík,europe
India,New Delhi,asia
Indonesia,Jakarta,asia
Iran,Tehran,asia
Iraq,Baghdad,asia
Ireland,Dublin,europe
Isle of Man,Douglas,europe,british teritory
Israel,Jerusalem,asia
Italy,Rome,europe
Jamaica,Kingston,north america
Japan,Tokyo,asia
Jersey,St. Helier,europe,british teritory
Jordan,Amman,asia
Kazakhstan,Astana,asia
Kenya,Nairobi,afrika
Kiribati,Tarawa,oceania
Kosovo,Pristina,europe
Kuwait,Kuwait City,asia
Kyrgyzstan,Bishkek,asia
Laos,Vientiane,asia
